Author,Message
,A beautiful thing is never perfect.
,A bend in the road is not the end of the road...unless you fail to make the turn.
,"A friend is someone who understands your past, believes in your future, and accepts you just the way you are."
,A good plan today is better than a perfect plan tomorrow.
,A good rest is half the work.
,"A good teacher is like a candle, it consumes itself to light the way for others."
,A man is not where he lives but where he loves.
,A smile is a light in the window of your face to show your heart is at home.
,A stumble may prevent a fall.
,All the flowers of all the tomorrows are in the seeds of today.
,An obstacle may be either a stepping stone or a stumbling block.
,"As the rest of the world is walking out the door, your best friends are the ones walking in."
,Be thankful when you don't know something for it gives you the opportunity to learn.
,Being right is highly overrated. Even a stopped clock is right twice a day.
,Beware of the half truth. You may have gotten hold of the wrong half.
,"Change your thoughts, change your life!"
,Change your words. Change your world.
,Count your joys instead of your woes. Count your friends instead of your foes.
,"Courage is the discovery that you may not win, and trying when you know you can lose."
,Don't be pushed by your problems; be led by your dreams.
,"Don't fear failure so much that you refuse to try new things. The saddest summary of life contains three descriptions: could have, might have, and should have."
,"Don't focus on making the right decision, focus on making the decision the right one."
,Don't let today's disappointments cast a shadow on tomorrow's dreams.
,Don't let what you can't do stop you from doing what you can do.
,Don't miss all the beautiful colors of the rainbow looking for that pot of gold.
,Don't wait for people to be friendly. Show them how.
,"Each time we face a fear, we gain strength, courage, and confidence in the doing."
,"Every day may not be good, but there's something good in every day."
,Every man dies. Not every man really lives.
,Every new day is another chance to change your life.
,"Every sixty seconds you spend angry, upset or mad, is a full minute of happiness you'll never get back."
,Everyone smiles in the same language.
,Friendship isn't a big thing. It's a million little things.
,From small beginnings come great things.
,Giving up doesn't always mean you are weak. Sometimes it means that you are strong enough to let go.
,Giving up doesn't always mean you are weak; sometimes it means that you are strong enough to let go.
,"He who has health has hope, and he who has hope has everything."
,I've never seen a smiling face that was not beautiful.
,"If I could reach up and hold a star for every time you've made me smile, the entire evening sky would be in the palm of my hand."
,"If we are facing in the right direction, all we have to do is keep on walking."
,"If you come to a fork in the road, take it."
,"If you get up one more time than you fall, you will make it through."
,"Invent your world. Surround yourself with people, color, sounds, and work that nourish you."
,It is better to take many small steps in the right direction than to make a great leap forward only to stumble backward.
,It takes both sunshine and rain to make a rainbow.
,It's easier to see the mistakes on someone else's paper.
,"It's not who you are that holds you back, it's who you think you're not."
,Kindness is the greatest wisdom.
,Letting go isn't the end of the world; it's the beginning of a new life.
,"Life is not measured by the breaths we take, but by the moments that take our breath."
,Love is just a word until someone comes along and gives it meaning.
,Love is not blind; it simply enables one to see things others fail to see.
,Many people have gone further than they thought they could because someone else thought they could.
,More powerful than the will to win is the courage to begin.
,Most smiles are started by another smile.
,"Never be afraid to try, remember... Amateurs built the ark, Professionals built the Titanic."
,Never let lack of money interfere with having fun.
,"Never miss an opportunity to make others happy, even if you have to leave them alone in order to do it."
,Never tell me the sky's the limit when there are footprints on the moon.
,"Nobody can do everything, but everybody can do something."
,One who asks a question is a fool for five minutes; one who does not ask a question remains a fool forever.
,Open minds lead to open doors.
,Our greatest glory is not in never failing but rising everytime we fall.
,"Peace of mind is not the absence of conflict from life, but the ability to cope with it."
,Put your future in good hands : your own.
,"Put your future in good hands, your own."
,"Some people think it's holding that makes one strong, sometimes it's letting go."
,"Some pursue happiness, others create it."
,"Someone remembers, someone cares; your name is whispered in someone's prayers."
,The best place to find a helping hand is at the end of your own arm.
,The day always looks brighter from behind a smile.
,"The day is already blessed, find peace within it."
,"The difficulties of life are intended to make us better, not bitter."
,"The harder you fall, the higher you bounce."
,The real measure of your wealth is how much youd be worth if you lost all your money.
,The steeper the mountain the harder the climb the better the view from the finishing line
,The world doesn't happen to you it happens from you.
,"Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending."
,"To get something you never had, you have to do something you never did."
,Today is the tomorrow we worried about yesterday.
,Today is the tomorrow you worried about yesterday.
,We all have problems. The way we solve them is what makes us different.
,We cannot direct the wind but we can adjust the sails.
,We do what we do because we believe.
,What we see is mainly what we look for.
,What you see depends on what you're looking for.
,"When you don't know what you believe, everything becomes an argument. Everything is debatable. But when you stand for something, decisions are obvious."
,"When you lose, don't lose the lesson."
,Why compare yourself with others? No one in the entire world can do a better job of being you than you.
,Why worry about things you can't control when you can keep yourself busy controlling the things that depend on you?
,"Why worry about tomorrow, when today is all we have?"
,Worry gives a small thing a big shadow.
,Yesterday is history. Tomorrow is a mystery. And today? Today is a gift that's why they call it the present.
,You can do what's reasonable or you can decide what's possible.
,You can never cross the ocean unless you have the courage to lose sight of the shore.
,You don't drown by falling in water. You drown by staying there.
,"You may only be someone in the world, but to someone else, you may be the world."
A. A. Milne,One of the advantages of being disorderly is that one is constantly making exciting discoveries.
A. Powell Davies,Life is just a chance to grow a soul.
Abernathy,The industrial landscape is already littered with remains of once successful companies that could not adapt their strategic vision to altered conditions of competition.
Abraham Lincoln,A house divided against itself cannot stand.
Abraham Lincoln,Always bear in mind that your own resolution to succeed is more important than any one thing.
Abraham Lincoln,"As our case is new, we must think and act anew."
Abraham Lincoln,"Be sure you put your feet in the right place, then stand firm."
Abraham Lincoln,Character is like a tree and reputation like a shadow. The shadow is what we think of it; the tree is the real thing.
Abraham Lincoln,Give me six hours to chop down a tree and I will spend the first four sharpening the axe.
Abraham Lincoln,I destroy my enemies when I make them my friends.
